pitch_id,game_date,game_pk,game_type,at_bat_number,pitch_number,inning,inning_topbot,outs_when_up,home_team,away_team,player_name,pitcher,batter,stand,p_throws,balls,strikes,count,pitcher_advantage_count,is_two_strike,is_first_pitch,times_through_order,pitch_type,pitch_name,pitch_name_raw,description,events,type,bb_type,is_strike,is_swing,is_contact,is_whiff,is_csw,is_in_zone,is_chase,zone,release_speed,effective_speed,release_spin_rate,release_extension,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,sz_top,sz_bot,arm_angle,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,delta_run_exp,bat_speed,swing_length,is_hard_hit,home_score,away_score,bat_score,fld_score,has_video,video_url,video_level,video_notes
824393_51_2,2026-08-30,824393,R,51,2,6,Top,2,CLE,KC,"Messick, Parker",800048,670231,L,L,1,0,1-0,False,False,False,3,FF,Four-Seam Fastball,4-Seam Fastball,hit_into_play,field_out,X,fly_ball,False,True,True,False,False,True,False,6,93.7,94.3,2216,6.6,1.06,53.86,5.27,0.45,1.21,0.48840384,2.291266614,3.135752953,1.582529528,42.5,83.2,43.0,284.0,0.014,0.017,0.0,-0.305,,,False,9,1,1,9,True,https://www.mlb.com/video/john-rave-flies-out-to-center-fielder-steven-kwan?partnerId=web_multimedia-search_video-share,Pitch,
824393_51_1,2026-08-30,824393,R,51,1,6,Top,2,CLE,KC,"Messick, Parker",800048,670231,L,L,0,0,0-0,False,False,True,3,FF,Four-Seam Fastball,4-Seam Fastball,ball,none,B,none,False,False,False,False,False,False,False,11,94.2,95.0,2295,6.6,1.2,53.92,5.33,0.48,1.3,-0.118080629,4.21913077,3.135752953,1.582529528,41.5,,,,,,,0.024,,,False,9,1,1,9,True,https://www.mlb.com/video/parker-messick-ball-to-john-rave-v5eibp?partnerId=web_multimedia-search_video-share,Pitch,
824393_50_5,2026-08-30,824393,R,50,5,6,Top,2,CLE,KC,"Messick, Parker",800048,679845,R,L,3,1,3-1,False,False,False,3,FF,Four-Seam Fastball,4-Seam Fastball,hit_into_play,double,X,line_drive,False,True,True,False,False,True,False,2,94.0,95.1,2134,6.7,1.09,53.78,5.19,0.49,1.38,-0.075281173,2.860341265,3.18226706,1.606003937,36.7,92.3,22.0,310.0,0.149,0.155,1.25,0.414,65.5,6.1,False,9,1,1,9,True,https://www.mlb.com/video/nick-loftin-doubles-23-on-a-line-drive-to-right-fielder-chase-delauter?partnerId=web_multimedia-search_video-share,Pitch,
824393_50_4,2026-08-30,824393,R,50,4,6,Top,2,CLE,KC,"Messick, Parker",800048,679845,R,L,2,1,2-1,False,False,False,3,CH,Changeup,Changeup,ball,none,B,none,False,False,False,False,False,False,False,13,86.2,86.8,1844,6.4,1.24,54.06,5.2,1.02,0.2,-1.051290737,1.160789409,3.18226706,1.606003937,33.3,,,,,,,0.101,,,False,9,1,1,9,True,https://www.mlb.com/video/parker-messick-ball-to-nick-loftin-r3nejg?partnerId=web_multimedia-search_video-share,Pitch,
824393_50_3,2026-08-30,824393,R,50,3,6,Top,2,CLE,KC,"Messick, Parker",800048,679845,R,L,1,1,1-1,False,False,False,3,CH,Changeup,Changeup,ball,none,B,none,False,False,False,False,False,False,False,14,85.6,85.6,1668,6.4,1.25,54.15,5.2,1.26,0.06,0.320275658,0.064928419,3.18226706,1.606003937,35.1,,,,,,,0.055,,,False,9,1,1,9,True,https://www.mlb.com/video/parker-messick-ball-to-nick-loftin-o6kkxt?partnerId=web_multimedia-search_video-share,Pitch,
824393_50_2,2026-08-30,824393,R,50,2,6,Top,2,CLE,KC,"Messick, Parker",800048,679845,R,L,0,1,0-1,True,False,False,3,CH,Changeup,Changeup,ball,none,B,none,False,False,False,False,False,False,False,13,86.8,87.1,1813,6.5,1.26,53.97,5.23,1.21,0.12,-0.263231701,-0.079465926,3.18226706,1.606003937,36.1,,,,,,,0.03,,,False,9,1,1,9,True,https://www.mlb.com/video/parker-messick-ball-to-nick-loftin-yli0rz?partnerId=web_multimedia-search_video-share,Pitch,
824393_50_1,2026-08-30,824393,R,50,1,6,Top,2,CLE,KC,"Messick, Parker",800048,679845,R,L,0,0,0-0,False,False,True,3,CU,Curveball,Curveball,called_strike,none,S,none,True,False,False,False,True,True,False,6,79.6,79.9,2288,6.4,1.08,54.08,5.36,-1.34,-0.53,0.297217938,2.314379914,3.18226706,1.606003937,41.2,,,,,,,-0.043,,,False,9,1,1,9,True,https://www.mlb.com/video/parker-messick-called-strike-to-nick-loftin-9kztam?partnerId=web_multimedia-search_video-share,Pitch,
824393_49_3,2026-08-30,824393,R,49,3,6,Top,1,CLE,KC,"Messick, Parker",800048,686469,L,L,1,1,1-1,False,False,False,3,SI,Sinker,Sinker,hit_into_play,field_out,X,fly_ball,False,True,True,False,False,True,False,2,94.7,95.4,2156,6.6,1.02,53.91,5.32,0.95,1.05,0.194902432,2.997417638,3.363057743,1.697244095,39.2,86.5,40.0,301.0,0.006,0.005,0.0,-0.253,66.8,6.9,False,9,1,1,9,True,https://www.mlb.com/video/vinnie-pasquantino-flies-out-to-center-fielder-steven-kwan?partnerId=web_multimedia-search_video-share,Pitch,
824393_49_2,2026-08-30,824393,R,49,2,6,Top,1,CLE,KC,"Messick, Parker",800048,686469,L,L,1,0,1-0,False,False,False,3,SL,Slider,Slider,called_strike,none,S,none,True,False,False,False,True,True,False,2,88.1,88.9,2397,6.6,1.02,53.86,5.39,-0.31,0.41,0.190230062,3.065401319,3.363057743,1.697244095,42.7,,,,,,,-0.05,,,False,9,1,1,9,True,https://www.mlb.com/video/parker-messick-called-strike-to-vinnie-pasquantino-k6rec7?partnerId=web_multimedia-search_video-share,Pitch,
824393_49_1,2026-08-30,824393,R,49,1,6,Top,1,CLE,KC,"Messick, Parker",800048,686469,L,L,0,0,0-0,False,False,True,3,SL,Slider,Slider,ball,none,B,none,False,False,False,False,False,False,False,13,87.1,88.1,2420,6.6,0.9,53.93,5.45,-0.45,0.38,-0.702142595,1.345720929,3.363057743,1.697244095,42.5,,,,,,,0.042,,,False,9,1,1,9,True,https://www.mlb.com/video/parker-messick-ball-to-vinnie-pasquantino-3voarb?partnerId=web_multimedia-search_video-share,Pitch,
